resource_id,date,linked_account_id,linked_account_name,service_code,unblended_cost,usage_amount,usage_density_24h,is_hourly_billing,traffic_volume,cost_per_request,cpu_percent,cost_rolling_7d_mean,cost_rolling_7d_std,cost_z_score,is_weekend,cost_dow_baseline,cost_vs_dow_ratio
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-01,200000000010,prod-core,AmazonRDS,73.1905,63.0953,1.0,1,234134,0.0003126,31.05,,,,1,,
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-02,200000000010,prod-core,AmazonRDS,95.1104,81.9917,1.0,1,277801,0.00034237,61.48,,,,0,,
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-03,200000000010,prod-core,AmazonRDS,88.017,75.8767,1.0,1,285650,0.00030813,80.54,,,,0,,
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-04,200000000010,prod-core,AmazonRDS,91.5383,78.9123,1.0,1,298949,0.0003062,54.73,85.4393,11.185,0.5453,0,91.5637,0.9997
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-05,200000000010,prod-core,AmazonRDS,92.5751,79.8061,1.0,1,262634,0.00035249,17.6,86.964,9.6282,0.5828,0,91.55523333333333,1.0111
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-06,200000000010,prod-core,AmazonRDS,95.7129,82.5111,1.0,1,275462,0.00034746,5.73,88.0863,8.7077,0.8759,0,91.81020000000001,1.0425
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-07,200000000010,prod-core,AmazonRDS,72.0574,62.1184,1.0,1,228272,0.00031566,19.56,89.3574,8.3877,-2.0625,1,,
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-08,200000000010,prod-core,AmazonRDS,87.9045,75.7797,1.0,1,266327,0.00033006,72.62,86.8859,10.0689,0.1012,1,72.62395000000001,1.2104
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-09,200000000010,prod-core,AmazonRDS,93.7285,80.8004,1.0,1,289281,0.00032401,81.69,88.9879,8.071,0.5874,0,91.960825,1.0192
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-10,200000000010,prod-core,AmazonRDS,92.531,79.7681,1.0,1,283057,0.0003269,88.63,88.7905,7.9116,0.4728,0,93.38870000000001,0.9908
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-11,200000000010,prod-core,AmazonRDS,89.0434,76.7615,1.0,1,298185,0.00029862,56.19,89.4354,8.0212,-0.0489,0,93.636875,0.9509
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-12,200000000010,prod-core,AmazonRDS,89.515,77.1681,1.0,1,293330,0.00030517,76.25,89.079,7.9674,0.0547,0,92.75395,0.9651
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-13,200000000010,prod-core,AmazonRDS,95.5813,82.3977,1.0,1,302704,0.00031576,67.22,88.6418,7.8264,0.8867,0,91.204475,1.048
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-14,200000000010,prod-core,AmazonRDS,74.0594,63.8443,1.0,1,252476,0.00029333,42.21,88.623,7.8067,-1.8655,1,77.71746666666667,0.9529
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-15,200000000010,prod-core,AmazonRDS,75.4958,65.0826,1.0,1,250264,0.00030166,43.03,88.909,7.1036,-1.8882,1,76.80295,0.983
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-16,200000000010,prod-core,AmazonRDS,94.5908,81.5438,1.0,1,279453,0.00033849,24.41,87.1363,8.7529,0.8517,0,91.667675,1.0319
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-17,200000000010,prod-core,AmazonRDS,99.9739,86.1844,1.0,1,320835,0.00031161,77.84,87.2595,8.8665,1.434,0,92.182625,1.0845
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-18,200000000010,prod-core,AmazonRDS,92.973,80.1492,1.0,1,271060,0.000343,31.49,88.3228,9.9803,0.4659,0,94.91524999999999,0.9795
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-19,200000000010,prod-core,AmazonRDS,89.1814,76.8805,1.0,1,296072,0.00030122,18.88,88.8842,10.1369,0.0293,0,95.77974999999999,0.9311
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-20,200000000010,prod-core,AmazonRDS,98.0032,84.4855,1.0,1,306153,0.00032011,7.16,88.8365,10.1342,0.9045,0,94.17977499999999,1.0406
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-21,200000000010,prod-core,AmazonRDS,73.4892,63.3528,1.0,1,231561,0.00031736,15.51,89.1825,10.4396,-1.5032,1,77.379275,0.9497
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-22,200000000010,prod-core,AmazonRDS,71.3485,61.5073,1.0,1,206438,0.00034562,59.08,89.101,10.5786,-1.6782,1,77.737225,0.9178
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-23,200000000010,prod-core,AmazonRDS,88.072,75.9241,1.0,1,285257,0.00030875,6.03,88.5086,11.54,-0.0378,0,95.03287499999999,0.9268
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-24,200000000010,prod-core,AmazonRDS,86.1522,74.2691,1.0,1,278239,0.00030963,2.04,87.5773,11.2261,-0.1269,0,92.0574,0.9359
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-25,200000000010,prod-core,AmazonRDS,89.9635,77.5547,1.0,1,267395,0.00033644,18.12,85.6028,9.8083,0.4446,0,90.35220000000001,0.9957
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-26,200000000010,prod-core,AmazonRDS,89.6648,77.2972,1.0,1,272469,0.00032908,30.96,85.1729,9.4923,0.4732,0,90.547725,0.9902
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-27,200000000010,prod-core,AmazonRDS,92.4623,79.7089,1.0,1,304441,0.00030371,71.73,85.2419,9.528,0.7578,0,88.46312499999999,1.0452
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-28,200000000010,prod-core,AmazonRDS,83.5217,72.0015,1.0,1,265547,0.00031453,32.23,84.4504,8.4616,-0.1097,1,73.598225,1.1348
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-29,200000000010,prod-core,AmazonRDS,96.2582,82.9812,1.0,1,305550,0.00031503,62.81,85.8836,7.023,1.4772,1,75.9638,1.2672
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-30,200000000010,prod-core,AmazonRDS,114.8428,99.0025,1.0,1,358162,0.00032064,74.48,89.4421,4.1564,6.1112,0,89.5607,1.2823
arn:aws:rds:us-east-1:acct:db:db-1025,2026-03-31,200000000010,prod-core,AmazonRDS,102.7578,88.5843,1.0,1,348509,0.00029485,91.13,93.2665,10.3649,0.9157,0,96.73334999999999,1.0623
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-01,200000000010,prod-core,AmazonRDS,97.8018,84.3119,1.0,1,300356,0.00032562,94.5,95.6387,10.3656,0.2087,0,99.931925,0.9787
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-02,200000000010,prod-core,AmazonRDS,94.7855,81.7116,1.0,1,290418,0.00032638,90.01,96.7585,10.0695,-0.1959,0,101.96617499999999,0.9296
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-03,200000000010,prod-core,AmazonRDS,95.3659,82.2119,1.0,1,288228,0.00033087,64.85,97.49,9.6453,-0.2202,0,102.54697499999999,0.93
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-04,200000000010,prod-core,AmazonRDS,73.5246,63.3833,1.0,1,244378,0.00030086,12.32,97.9048,9.4536,-2.5789,1,81.1544,0.906
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-05,200000000010,prod-core,AmazonRDS,74.2464,64.0055,1.0,1,238585,0.00031119,80.47,96.4767,12.3117,-1.8056,1,81.16325,0.9148
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-06,200000000010,prod-core,AmazonRDS,85.0227,73.2954,1.0,1,257528,0.00033015,40.85,93.3321,14.913,-0.5572,0,97.67775,0.8704
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-07,200000000010,prod-core,AmazonRDS,98.7814,85.1564,1.0,1,303217,0.00032578,81.1,89.0721,11.6453,0.8337,0,93.24397499999999,1.0594
arn:aws:rds:us-east-1:acct:db:db-1025,2026-04-08,200000000010,prod-core,AmazonRDS,102.3484,88.2314,1.0,1,299507,0.00034172,62.61,88.504,10.9423,1.2652,0,93.488875,1.0948
