date,linked_account_id,linked_account_name,daily_cost,traffic_volume,traffic_source,cost_ratio
2026-03-01,200000000010,prod-core,1921.84,234134,Synthetic,1.0
2026-03-02,200000000010,prod-core,2441.9900000000002,277801,Synthetic,1.1191957523551561
2026-03-03,200000000010,prod-core,2294.33,285650,Synthetic,1.0337675874415753
2026-03-04,200000000010,prod-core,2379.35,298949,Synthetic,1.0530998029324448
2026-03-05,200000000010,prod-core,2425.2000000000003,262634,Synthetic,1.0578650249373838
2026-03-06,200000000010,prod-core,2455.39,275462,Synthetic,1.058502238092843
2026-03-07,200000000010,prod-core,1890.19,228272,Synthetic,0.8369867961683395
2026-03-08,200000000010,prod-core,2255.05,266327,Synthetic,0.9779357556608742
2026-03-09,200000000010,prod-core,2412.71,289281,Synthetic,1.0482087508735607
2026-03-10,200000000010,prod-core,2463.9,283057,Synthetic,1.0592999909715086
2026-03-11,200000000010,prod-core,2380.22,298185,Synthetic,1.0232689253475782
2026-03-12,200000000010,prod-core,2352.92,293330,Synthetic,1.016042807139623
2026-03-13,200000000010,prod-core,2514.24,302704,Synthetic,1.0817770724244478
2026-03-14,200000000010,prod-core,1991.71,252476,Synthetic,0.8516390513568407
2026-03-15,200000000010,prod-core,2037.9,250264,Synthetic,0.88310345681458
2026-03-16,200000000010,prod-core,2433.33,279453,Synthetic,1.0531147715314866
2026-03-17,200000000010,prod-core,2625.23,320835,Synthetic,1.1249459001992586
2026-03-18,200000000010,prod-core,2372.59,271060,Synthetic,1.0171614020646844
2026-03-19,200000000010,prod-core,2363.46,296072,Synthetic,1.0125935981726553
2026-03-20,200000000010,prod-core,2557.66,306153,Synthetic,1.0928916583444632
2026-03-21,200000000010,prod-core,1947.68,231561,Synthetic,0.8344892381800542
2026-03-22,200000000010,prod-core,1780.96,206438,Synthetic,0.7752496593787293
2026-03-23,200000000010,prod-core,2240.21,285257,Synthetic,0.9870139270471222
2026-03-24,200000000010,prod-core,2336.72,278239,Synthetic,1.0485766009713267
2026-03-25,200000000010,prod-core,2277.06,267395,Synthetic,1.0281009433201644
2026-03-26,200000000010,prod-core,2311.27,272469,Synthetic,1.047071622541672
2026-03-27,200000000010,prod-core,2471.2400000000002,304441,Synthetic,1.1258394000965823
2026-03-28,200000000010,prod-core,2173.19,265547,Synthetic,0.9757341740081394
2026-03-29,200000000010,prod-core,2494.77,305550,Synthetic,1.0710805509658095
2026-03-30,200000000010,prod-core,2921.75,358162,Synthetic,1.2040651124455435
2026-03-31,200000000010,prod-core,2623.33,348509,Synthetic,1.063146218203271
2026-04-01,200000000010,prod-core,2554.89,300356,Synthetic,1.019018896392341
2026-04-02,200000000010,prod-core,2483.77,290418,Synthetic,0.9810104869733803
2026-04-03,200000000010,prod-core,2503.7799999999997,288228,Synthetic,0.9871014469898869
2026-04-04,200000000010,prod-core,1975.6399999999999,244378,Synthetic,0.7876486578998776
2026-04-05,200000000010,prod-core,1881.98,238585,Synthetic,0.7774417915697363
2026-04-06,200000000010,prod-core,2158.37,257528,Synthetic,0.9336802671650055
2026-04-07,200000000010,prod-core,2637.61,303217,Synthetic,1.1399866881040055
2026-04-08,200000000010,prod-core,2603.21,299507,Synthetic,1.1217721104432554
